Entfernungen;Nürnberg;München;Augsburg;Köln;Düsseldorf;Bochum;Dortmund;Essen;Bonn;Berlin;Hamburg;Bremen;Stuttgart;Leipzig;Kiel;Würzburg;Ansbach;Siegen;Frankfurt;Erfurt;Kassel;Koblenz;Saarbrücken;Fürth;Aachen
Nürnberg;;170;150;405;448;482;462;465;392;441;655;631;218;285;750;109;60;348;227;228;310;339;374;10;479
München;170;;80;573;615;650;630;632;560;590;802;778;232;430;897;277;204;516;394;396;478;500;440;174;646
Augsburg;150;80;;522;564;597;578;581;502;569;805;740;164;415;862;246;123;485;360;372;446;432;372;153;595
Köln;405;573;522;;45;87;102;70;29;573;432;315;368;497;509;301;384;92;190;367;242;109;259;401;87
Düsseldorf;448;615;564;45;;50;70;35;76;561;402;292;409;485;487;342;425;132;231;382;230;156;306;441;85
Bochum;482;650;597;87;50;;23;17;114;517;376;259;443;436;454;375;457;123;265;333;181;180;339;475;138
Dortmund;462;630;578;102;70;23;;37;121;493;352;235;450;417;429;360;437;106;225;314;161;188;351;456;158
Essen;465;632;581;70;35;17;37;;99;528;362;251;428;451;446;361;444;151;250;349;196;165;329;460;123
Bonn;392;560;502;29;76;114;121;99;;601;455;338;349;498;533;284;367;115;173;364;265;62;239;383;97
Berlin;441;590;569;573;561;517;493;528;601;;290;399;636;195;356;487;486;579;550;305;385;606;737;460;644
Hamburg;655;802;805;432;402;376;352;362;455;290;;126;663;396;97;517;593;444;501;396;318;525;689;661;498
Bremen;631;778;740;315;292;259;235;251;338;399;126;;671;373;212;504;580;327;446;373;305;408;572;639;380
Stuttgart;218;232;164;368;409;443;450;428;349;636;663;671;;473;811;147;152;328;203;339;356;276;218;215;439
Leipzig;285;430;415;497;485;436;417;451;498;195;396;373;473;;492;337;326;419;391;162;254;446;566;300;562
Kiel;750;897;862;509;487;454;429;446;533;356;97;212;811;492;;612;689;521;596;492;414;603;767;757;575
Würzburg;109;277;246;301;342;375;360;361;284;487;517;504;147;337;612;;86;242;121;193;210;233;292;104;373
Ansbach;60;204;123;384;425;457;437;444;367;486;593;580;152;326;689;86;;327;205;289;286;318;316;70;457
Siegen;348;516;485;92;132;123;106;151;115;579;444;327;328;419;521;242;327;;131;287;170;103;294;342;172
Frankfurt;227;394;360;190;231;265;225;250;173;550;501;446;203;391;596;121;205;131;;262;198;123;182;219;262
Erfurt;228;396;372;367;382;333;314;349;364;305;396;373;339;162;492;193;289;287;262;;194;312;433;225;445
Kassel;310;478;446;242;230;181;161;196;265;385;318;305;356;254;414;210;286;170;198;194;;248;369;304;311
Koblenz;339;500;432;109;156;180;188;165;62;606;525;408;276;446;603;233;318;103;123;312;248;;200;335;174
Saarbrücken;374;440;372;259;306;339;351;329;239;737;689;572;218;566;767;292;316;294;182;433;369;200;;373;262
Fürth;10;174;153;401;441;475;456;460;383;460;661;639;215;300;757;104;70;342;219;225;304;335;373;;473
Aachen;479;646;595;87;85;138;158;123;97;644;498;380;439;562;575;373;457;172;262;445;311;174;262;473;
